cust_id,AVARAGE _INTER_BOUNCE_TIME,salary of customer,FIRST 3 MONTH_BOUNCE_RATIO,FIRST_MONTH_BOUNCE,LATEST 3 MONTH_BOUNCE_RATIO,LATEST 3 MONTH_CLEAR_RATIO,LATEST_3 MONTHONTH_AVARAGE UNIQ_INTENSITY,LATEST_3 MONTHONTH_NUMBER OF TIME_FOLLOWUP_GT15D,LATEST_3 MONTHONTH_NUMBER OF TIME_FOLLOWUP_LQ15D,LATEST_MONTH_BOUNCE,LATEST_MONTH_FIRST_FOLLOWUP_DAY,LATEST_MONTH_LAST_FOLLOWUP_DAY,LATEST_MONTH_UNIQ_INTENSITY,month on book,NEVER_BOUNCE_FLAG,NUMBER OF TIME_BANK_CLEAR,NUMBER OF TIME_BOUNCE_PAID_BY_ END OF THE MONTH,NUMBER OF TIME_BOUNCES_LATEST_25PT,NUMBER OF TIME_CLEAR,number of deviations customer have at time of disbursal. ,Median day Offline payment  (like manual or mobility app payment)number of receipt cut,On which day receipt cut has been done,median receipt cut in last 6 month,remaining tenure of customer,RATE OF INTEREST,total number of dre receipt cut,TOTAL_OUTSTANDING_BALANCE LIVE_TRACTOR LOAN,number of unique receipt cut
cust1,,300000,0,,0,0,,,,,,,,1,NO,,,,,0,0,7,0,17,18.99,0,,0
cust2,0,402000,1,1,1,0,0,0,0,1,0,0,0,2,NO,0,1,1,0,1,0,5,28,16,24,1,,1
cust3,0,300000,1,1,1,0,0,0,0,1,0,0,0,2,NO,0,1,1,0,0,14,5,14,22,22,1,,1
cust4,0,330000,0,0,0,0,0,0,0,0,0,0,0,2,YES,0,0,0,0,2,5,18,5,24,22.95,1,,1
cust5,,698000,0,,0,0,,,,,,,,1,NO,,,,,2,0,18,0,45,19.01,0,,0
cust6,,650000,0,,0,0,,,,,,,,1,NO,,,,,2,0,5,0,28,19,0,,0
cust7,,575803,0,,0,0,,,,,,,,2,NO,,,,,0,0,6,0,32,22.28,0,,0
cust8,0,242454,1,1,1,0,0,0,0,1,0,0,0,3,NO,0,1,1,0,1,12,19,12,9,26.17,2,,2
cust9,0,866000,0.5,0,0.5,0,0,0,0,1,0,0,0,3,NO,0,1,1,0,2,13,5,13,21,24,2,,2
cust10,0,300000,0,0,0,0,0,0,0,0,0,0,0,2,YES,0,0,0,0,1,5,17,5,20,22.63,1,,1
cust11,0,550000,1,1,1,0,0,0,0,1,0,0,0,2,NO,0,1,1,0,1,12,21,12,10,24.02,1,,1
cust12,0,650000,1,1,1,0,0,0,0,1,0,0,0,2,NO,0,1,1,0,1,19,10,19,24,23,1,,1
cust13,0,717000,0.5,1,0.5,0.5,0,0,0,0,0,0,0,3,NO,1,1,0,1,1,17,5,17,27,22.5,1,,1
cust14,0.5,1101000,1,1,1,0,0,0,0,1,0,0,0,3,NO,0,2,1,0,3,23,28,23,27,23,2,,2
cust15,0.5,850000,1,1,1,0,0,0,0,1,0,0,0,3,NO,0,2,1,0,1,7,5,7,8,22.76,2,,2
cust16,0,370000,0.5,1,0.5,0.5,0,0,0,0,0,0,0,3,NO,1,1,0,1,2,5,16,5,34,23.04,1,,1
cust17,0,300000,0.5,1,0.5,0.5,0,0,0,0,0,0,0,3,NO,1,1,0,1,0,5,5,5,28,19.52,1,,1
cust18,0.5,750000,1,1,1,0,0,0,0,1,0,0,0,3,NO,0,2,1,0,2,12,24,12,21,19.52,2,,2
cust19,,300000,0,,0,0,,,,,,,,1,NO,,,,,2,0,18,0,26,19.52,0,,0
cust20,,325000,0,,0,0,,,,,,,,1,NO,,,,,0,0,18,0,28,18.12,0,,0
cust21,,650000,0,,0,0,,,,,,,,1,NO,,,,,0,0,6,0,27,18,0,,0
cust22,0,475000,0,0,0,0,0,0,0,0,0,0,0,2,YES,0,0,0,0,1,15,16,15,45,19.59,1,,1
cust23,,165000,0,,0,0,,,,,,,,1,NO,,,,,3,0,5,0,19,22,0,,0
cust24,,410000,0,,0,0,,,,,,,,1,NO,,,,,1,0,5,0,29,22.21,0,,0
cust25,0.5,1170000,1,1,1,0,0,0,0,1,0,0,0,3,NO,0,2,1,0,0,13,9,13,7,19.54,2,,2
cust26,0,650000,0.5,1,0.5,0.5,0,0,0,0,0,0,0,3,NO,1,1,0,1,2,5,5,5,39,19.52,1,,1
cust27,0.5,550000,1,1,1,0,0,0,0,1,0,0,0,3,NO,0,2,1,0,0,14,6,14,29,19.59,2,,2
cust28,0,1150000,0.5,1,0.5,0.5,0,0,0,0,0,0,0,3,NO,1,1,0,1,1,3,5,3,17,19.55,1,,1
cust29,0.5,350000,1,1,1,0,0,0,0,1,0,0,0,3,NO,0,2,1,0,0,14,13,14,43,19.51,2,,2
cust30,0.5,530000,1,1,1,0,0,0,0,1,0,0,0,3,NO,0,2,1,0,0,9,10,9,43,18.69,2,,2
cust31,0,1095000,0.5,1,0.5,0,0,0,0,0,0,0,0,3,NO,0,1,0,0,1,14,20,14,43,18.2,2,,2
cust32,0,1335000,0.5,0,0.5,0,0,0,0,1,0,0,0,3,NO,0,1,1,0,1,16,12,16,41,18.86,2,,2
cust33,0,650000,0.5,1,0.5,0.5,0,0,0,0,0,0,0,3,NO,1,1,0,1,1,14,5,14,46,18.12,1,,1
cust34,0,360000,1,1,1,0,0,0,0,1,0,0,0,2,NO,0,1,1,0,1,28,20,28,46,18.4,1,,1
cust35,,32500000,0,,0,0,,,,,,,,1,NO,,,,,0,0,7,0,17,21.01,0,,0
cust36,0,850000,1,1,1,0,0,0,0,1,0,0,0,2,NO,0,1,1,0,2,5,5,5,40,19.52,1,,1
cust37,0,790000,1,1,1,0,0,0,0,1,0,0,0,2,NO,0,1,1,0,1,5,5,5,33,19.52,1,,1
cust38,,300000,0,,0,0,,,,,,,,1,NO,,,,,0,0,3,0,19,23.09,0,,0
cust39,,300000,0,,0,0,,,,,,,,1,NO,,,,,1,0,7,0,21,22.72,0,,0
cust40,,450000,0,,0,0,,,,,,,,1,NO,,,,,3,0,6,0,17,18.04,0,,0
cust41,0.5,450000,1,1,1,0,0,0,0,1,0,0,0,3,NO,0,2,1,0,1,11,16,11,27,21.53,2,,2
cust42,0,454000,0.5,1,0.5,0.5,0,0,0,0,0,0,0,3,NO,1,1,0,1,4,8,5,8,27,24.24,1,,1
cust43,0,450000,0.5,1,0.5,0.5,0,0,0,0,0,0,0,3,NO,1,1,0,1,0,5,5,5,31,24.08,1,,1
cust44,0.5,1075000,1,1,1,0,0,0,0,1,0,0,0,3,NO,0,2,1,0,0,7,4,7,31,19,2,,2
cust45,,325000,0,,0,0,,,,,,,,1,NO,,,,,0,0,16,0,35,19,0,,0
cust46,0.5,770000,1,1,1,0,0,0,0,1,0,0,0,3,NO,0,2,1,0,0,5,6,5,33,3.82,3,,3
cust47,0,410000,1,1,1,0,0,0,0,1,0,0,0,2,NO,0,1,1,0,1,21,5,21,45,18.16,1,,1
cust48,,650000,0,,0,0,,,,,,,,1,NO,,,,,0,0,6,0,27,18,0,,0
cust49,,650000,0,,0,0,,,,,,,,1,NO,,,,,0,0,6,0,27,18,0,,0
cust50,,410000,0,,0,0,,,,,,,,1,NO,,,,,4,0,4,0,59,18.54,0,,0
cust51,,300000,0,,0,0,,,,,,,,1,NO,,,,,2,0,5,0,11,22,0,,0
cust52,0.5,650000,1,1,1,0,0,0,0,1,0,0,0,3,NO,0,2,1,0,0,19,28,19,12,22.06,2,,2
